test,family,testbench_policy,status,seed,cycles,rtl_instructions,iss_instructions,cpi,first_mismatch,mismatch_pc,mismatch_function,mismatch_source,mismatch_disassembly,waveform_timestamp,checker_failure,mmio_reads,mmio_writes,interrupts,traps,accepted,rejected,completions,runtime_errors,assertion_failures,memory_mismatches,mailbox0,apb_wait_cycles,poll_reads,irq_latency_cycles,handler_cycles,submit_to_completion_cycles,applied_knobs,trace,event_trace,log,optimizer,elf_sha256,source_set
rv32_decode_legality_matrix_O2,compiler_matrix,gcc_decode_legality,PASS,20260717,907,298,298,3.044,,,,,,,0,0,1,0,4,0,0,0,0,0,0,00000004,0,0,0,0,0,optimizer=O2,chiplet_extension/build/firmware_c/traces/rv32_decode_legality_matrix_O2.csv,chiplet_extension/build/firmware_c/events/rv32_decode_legality_matrix_O2.csv,chiplet_extension/build/firmware_c/logs/rv32_decode_legality_matrix_O2.log,O2,932c9222389c9fd14640b5a3073bc92f0c115217fce6948385508356e4c971af,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
apb_reset_phase_matrix_O2,compiler_matrix,gcc_apb_reset_phase,PASS,20260717,559,152,152,3.678,,,,,,,0,10,8,0,0,1,0,1,0,0,0,00000917,51,0,90,0,90,optimizer=O2,chiplet_extension/build/firmware_c/traces/apb_reset_phase_matrix_O2.csv,chiplet_extension/build/firmware_c/events/apb_reset_phase_matrix_O2.csv,chiplet_extension/build/firmware_c/logs/apb_reset_phase_matrix_O2.log,O2,d179706a8a4fb85c6213407f857ad8e2d1121b51f9762f6718537c45a9cb6652,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
apb_wait_trap_O2,compiler_matrix,apb_wait_error,PASS,20260717,805,255,255,3.157,,,,,,,0,2,2,0,3,0,0,0,0,0,0,00000000,21,0,0,0,0,optimizer=O2,chiplet_extension/build/firmware_c/traces/apb_wait_trap_O2.csv,chiplet_extension/build/firmware_c/events/apb_wait_trap_O2.csv,chiplet_extension/build/firmware_c/logs/apb_wait_trap_O2.log,O2,3808a3ea09b71aaa45c497e9ec89898838ebb4589141e983f471a9b360da42e3,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
rv32_control_flow_boundary_matrix_O2,compiler_matrix,gcc_control_boundary,PASS,20260717,739,242,242,3.054,,,,,,,0,0,1,0,2,0,0,0,0,0,0,00000002,0,0,0,0,0,optimizer=O2,chiplet_extension/build/firmware_c/traces/rv32_control_flow_boundary_matrix_O2.csv,chiplet_extension/build/firmware_c/events/rv32_control_flow_boundary_matrix_O2.csv,chiplet_extension/build/firmware_c/logs/rv32_control_flow_boundary_matrix_O2.log,O2,419317d2f16c6eddccf9207c55ddc7b7f15fff9f14fca7128ad13dd062d3ed80,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
rv32_sram_boundary_fault_matrix_O2,compiler_matrix,gcc_sram_boundary,PASS,20260717,652,213,213,3.061,,,,,,,0,0,1,0,2,0,0,0,0,0,0,a55aa55a,0,0,0,0,0,optimizer=O2,chiplet_extension/build/firmware_c/traces/rv32_sram_boundary_fault_matrix_O2.csv,chiplet_extension/build/firmware_c/events/rv32_sram_boundary_fault_matrix_O2.csv,chiplet_extension/build/firmware_c/logs/rv32_sram_boundary_fault_matrix_O2.log,O2,4388b648d3190aef5dc5427b1a63d8858cf16a2c5e34ef6c31c1485439246e95,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
interrupt_during_apb_wait_O2,compiler_matrix,gcc_interrupt_apb_wait,PASS,20260717,745,196,196,3.801,,,,,,,0,8,9,1,0,1,0,1,0,0,0,00000001,112,0,90,153,90,optimizer=O2,chiplet_extension/build/firmware_c/traces/interrupt_during_apb_wait_O2.csv,chiplet_extension/build/firmware_c/events/interrupt_during_apb_wait_O2.csv,chiplet_extension/build/firmware_c/logs/interrupt_during_apb_wait_O2.log,O2,094828a09d4bcd8a90b5e3f1854a98c5f0e6e9ab2ea9fe45af3c8b8029bb4b37,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
interrupt_mask_pending_enable_O2,compiler_matrix,gcc_interrupt_masked,PASS,20260717,681,208,208,3.274,,,,,,,0,13,10,1,0,1,0,1,0,0,0,00000001,0,0,108,146,90,optimizer=O2,chiplet_extension/build/firmware_c/traces/interrupt_mask_pending_enable_O2.csv,chiplet_extension/build/firmware_c/events/interrupt_mask_pending_enable_O2.csv,chiplet_extension/build/firmware_c/logs/interrupt_mask_pending_enable_O2.log,O2,574c372c09428fbdcf10ad72e6980cd3d2a56591bd37da56f232f044db6574b0,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
irq_trap_priority_matrix_O2,compiler_matrix,gcc_irq_trap_priority,PASS,20260717,1152,379,379,3.040,,,,,,,0,0,2,1,1,0,0,0,0,0,0,00000001,0,0,0,146,0,optimizer=O2,chiplet_extension/build/firmware_c/traces/irq_trap_priority_matrix_O2.csv,chiplet_extension/build/firmware_c/events/irq_trap_priority_matrix_O2.csv,chiplet_extension/build/firmware_c/logs/irq_trap_priority_matrix_O2.log,O2,26337fedfbb63e76311a5e9b57524ea2babdb46aa114813c9b088a09fe2e4147,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
irq_level_mret_matrix_O2,compiler_matrix,gcc_irq_level_mret,PASS,20260717,1301,428,428,3.040,,,,,,,0,0,3,2,1,0,0,0,0,0,0,00000001,0,0,0,146,0,optimizer=O2,chiplet_extension/build/firmware_c/traces/irq_level_mret_matrix_O2.csv,chiplet_extension/build/firmware_c/events/irq_level_mret_matrix_O2.csv,chiplet_extension/build/firmware_c/logs/irq_level_mret_matrix_O2.log,O2,1ab141e48e833aa397ec01b24abf31dee281b924ea9c2c49875e9ed1567ad036,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
reset_irq_handler_matrix_O2,compiler_matrix,gcc_reset_irq_handler,PASS,20260717,1789,590,590,3.032,,,,,,,0,0,2,2,0,0,0,0,0,0,0,00000001,0,0,0,456,0,optimizer=O2,chiplet_extension/build/firmware_c/traces/reset_irq_handler_matrix_O2.csv,chiplet_extension/build/firmware_c/events/reset_irq_handler_matrix_O2.csv,chiplet_extension/build/firmware_c/logs/reset_irq_handler_matrix_O2.log,O2,38c2e14867016d9df9d490de22f0485ec5056ae9f3767c0c5b2019ebd8a39e36,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
apb_atomicity_wait_error_matrix_O2,compiler_matrix,gcc_apb_atomicity,PASS,20260717,673,212,212,3.175,,,,,,,0,2,3,0,2,0,0,0,0,0,0,00000001,16,0,0,0,0,optimizer=O2,chiplet_extension/build/firmware_c/traces/apb_atomicity_wait_error_matrix_O2.csv,chiplet_extension/build/firmware_c/events/apb_atomicity_wait_error_matrix_O2.csv,chiplet_extension/build/firmware_c/logs/apb_atomicity_wait_error_matrix_O2.log,O2,2823222f6eec432342a7191ab458eafccad0ae52e8d0ed55784ff9249e1fed75,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
c_initialized_data_sections_Os,compiler_matrix,gcc_cpu_data,PASS,20260717,548,177,177,3.096,,,,,,,0,1,2,0,0,0,0,0,0,0,0,00000000,0,0,0,0,0,optimizer=Os,chiplet_extension/build/firmware_c/traces/c_initialized_data_sections_Os.csv,chiplet_extension/build/firmware_c/events/c_initialized_data_sections_Os.csv,chiplet_extension/build/firmware_c/logs/c_initialized_data_sections_Os.log,Os,b515a1edca52840fe6e1696866a2e49470f20d75451dc6a767126d55358f27c0,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
c_abi_stack_call_matrix_Os,compiler_matrix,gcc_cpu_abi,PASS,20260717,997,328,328,3.040,,,,,,,0,0,1,0,0,0,0,0,0,0,0,d4aba583,0,0,0,0,0,optimizer=Os,chiplet_extension/build/firmware_c/traces/c_abi_stack_call_matrix_Os.csv,chiplet_extension/build/firmware_c/events/c_abi_stack_call_matrix_Os.csv,chiplet_extension/build/firmware_c/logs/c_abi_stack_call_matrix_Os.log,Os,0fa2a19408452368bbe63ce1f1ea24fb2325dc85c9c99f9206bade0b86934402,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
isa_matrix_Os,compiler_matrix,isa_matrix,PASS,20260717,2129,704,704,3.024,,,,,,,0,1,2,0,11,0,0,0,0,0,0,0000000c,0,0,0,0,0,optimizer=Os,chiplet_extension/build/firmware_c/traces/isa_matrix_Os.csv,chiplet_extension/build/firmware_c/events/isa_matrix_Os.csv,chiplet_extension/build/firmware_c/logs/isa_matrix_Os.log,Os,e84c779be6b2c3309c6f8b8fd8793704655e801babbd80557dbef7c9a66b4be2,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
operand_corner_matrix_Os,compiler_matrix,gcc_cpu_only,PASS,20260717,445,144,144,3.090,,,,,,,0,0,1,0,0,0,0,0,0,0,0,4f504552,0,0,0,0,0,optimizer=Os,chiplet_extension/build/firmware_c/traces/operand_corner_matrix_Os.csv,chiplet_extension/build/firmware_c/events/operand_corner_matrix_Os.csv,chiplet_extension/build/firmware_c/logs/operand_corner_matrix_Os.log,Os,6004c5a0294256bd6744428354265a69ff31032c64143e1f6f65500e7100a74e,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
rv32_decode_legality_matrix_Os,compiler_matrix,gcc_decode_legality,PASS,20260717,904,297,297,3.044,,,,,,,0,0,1,0,4,0,0,0,0,0,0,00000004,0,0,0,0,0,optimizer=Os,chiplet_extension/build/firmware_c/traces/rv32_decode_legality_matrix_Os.csv,chiplet_extension/build/firmware_c/events/rv32_decode_legality_matrix_Os.csv,chiplet_extension/build/firmware_c/logs/rv32_decode_legality_matrix_Os.log,Os,2bfa727d99b78ecbcddf5222008ce0b1a5cbc822d996537b57eeb3f9ed1a15e9,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
apb_reset_phase_matrix_Os,compiler_matrix,gcc_apb_reset_phase,PASS,20260717,556,151,151,3.682,,,,,,,0,10,8,0,0,1,0,1,0,0,0,00000917,51,0,90,0,90,optimizer=Os,chiplet_extension/build/firmware_c/traces/apb_reset_phase_matrix_Os.csv,chiplet_extension/build/firmware_c/events/apb_reset_phase_matrix_Os.csv,chiplet_extension/build/firmware_c/logs/apb_reset_phase_matrix_Os.log,Os,5805330027d4c59e5983eaf17bc9eb96f6614e00f74fbb4f34c476387c698ff7,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
